SEXO,IDADE,FX_ID,ESCOLARIDADE,P1A,P1B,P1C,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P4,RACA,RELIGIAO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA
MAS,24.0,18 A 24,2ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Melhorar a qualidade da saúde,Defender a igualdade entre homens e mulheres,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Alguma vontade,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189529033.0,2023-09-01,Face a face
MAS,20.0,18 A 24,3ª série,Não,Não,Não,Melhorar a qualidade da saúde,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189608715.0,2023-09-03,Face a face
MAS,70.0,65 E MAIS,3ª série,Não,Não,Não,Reduzir a violência,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 1 A 2,MAIS DE 5 A 10,SUDESTE,CAPITAL,MAIS DE 500.000,189523210.0,2023-09-01,Face a face
FEM,27.0,25 A 34,3ª série,Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Combater as mudanças climáticas/desmatamento,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Preta,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,189550338.0,2023-09-01,Face a face
MAS,61.0,55 A 64,4ª série (ou 5º ano),Não,Não,Não,Melhorar a qualidade da saúde,Reduzir a violência,Melhorar a qualidade da educação,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Branca,Assembléia de Deus,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 100.001 A 500.000,189642193.0,2023-09-04,Face a face
MAS,47.0,45 A 54,2ª série (ou 3º ano),Sim,Sim,Sim,Melhorar a qualidade da saúde,Reduzir a violência,Defender a igualdade entre homens e mulheres,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Preta,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 10.001 A 20.000,189525790.0,2023-09-01,Face a face
FEM,25.0,25 A 34,8ª série (ou 9º ano),Sim,Sim,Sim,Reduzir a violência,Melhorar a qualidade da educação,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Evangelho Quadrangular,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,189634634.0,2023-09-03,Face a face
MAS,60.0,55 A 64,2ª série (ou 3º ano),Não,Não,Não,Reduzir a violência,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,Espírita/ Kardecista,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,189570309.0,2023-09-02,Face a face
FEM,44.0,35 A 44,5ª série (ou 6º ano),Não,Não,Não,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Nenhuma vontade,Preta,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 20.001 A 50.000,189552676.0,2023-09-02,Face a face
MAS,47.0,45 A 54,6ª série (ou 7º ano),Sim,Sim,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Defender a igualdade entre homens e mulheres,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Preta,Assembléia de Deus,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,189572001.0,2023-09-02,Face a face
