SEXO,IDADE,FX_ID,ESCOLARIDADE,P1A,P1B,P1C,P2_1,P2_2,P2_3,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P4,RACA,RELIGIAO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA
FEM,58.0,55 A 64,3ª série,Não,Não,Não,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Parda,Outras Evangélicas específicas,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,MAIS DE 500.000,189723943.0,2023-09-05,Face a face
FEM,22.0,18 A 24,Superior completo,Não,Não,Não,Reduzir as desigualdades sociais,Melhorar a qualidade da educação,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 10.001 A 20.000,189574218.0,2023-09-02,Face a face
MAS,20.0,18 A 24,3ª série,Não,Não,Não,Reduzir a violência,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Preta,Assembléia de Deus,ATÉ 1,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,189558367.0,2023-09-02,Face a face
FEM,40.0,35 A 44,5ª série (ou 6º ano),Sim,Sim,Sim,Melhorar a qualidade da saúde,Incentivar a geração de empregos,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUL,INTERIOR,DE 100.001 A 500.000,189569093.0,2023-09-02,Face a face
FEM,57.0,55 A 64,3ª série,Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Alguma vontade,Parda,Batista/ Metodista/ Presbiteriana,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,189556028.0,2023-09-02,Face a face
FEM,62.0,55 A 64,3ª série,Não,Não,Não,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Reduzir a violência,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Branca,Batista/ Metodista/ Presbiteriana,ATÉ 1,ATÉ 1,SUDESTE,CAPITAL,MAIS DE 500.000,189562113.0,2023-09-02,Face a face
FEM,28.0,25 A 34,Superior completo,Não,Sim,Sim,Reduzir a violência,Melhorar a qualidade da saúde,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,Muita vontade,Preta,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,189517036.0,2023-09-01,Face a face
MAS,42.0,35 A 44,3ª série,Sim,Sim,Sim,Melhorar a qualidade da saúde,Defender a igualdade entre homens e mulheres,Reduzir a violência,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Parda,Assembléia de Deus,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,DE 100.001 A 500.000,189560794.0,2023-09-02,Face a face
FEM,62.0,55 A 64,4ª série (ou 5º ano),Sim,Sim,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Nenhuma vontade,Preta,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,NORTE,INTERIOR,DE 20.001 A 50.000,189569629.0,2023-09-02,Face a face
MAS,25.0,25 A 34,Superior completo,Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Muita vontade,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189529031.0,2023-09-01,Face a face
FEM,40.0,35 A 44,6ª série (ou 7º ano),Sim,Sim,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir as desigualdades sociais,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Alguma vontade,Branca,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,189633850.0,2023-09-04,Face a face
FEM,21.0,18 A 24,Superior incompleto,Não,Sim,Sim,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 20.001 A 50.000,189654159.0,2023-09-04,Face a face
MAS,38.0,35 A 44,3ª série,Sim,Não,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Alguma vontade,Parda,Outras religiões,MAIS DE 1 A 2,MAIS DE 2 A 5,NORDESTE,PERIFERIA,DE 100.001 A 500.000,189565754.0,2023-09-02,Face a face
MAS,49.0,45 A 54,3ª série,Não,Não,Sim,Melhorar a qualidade da educação,Reduzir as desigualdades sociais,Preservar os valores ligados à família,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,INTERIOR,DE 100.001 A 500.000,189608722.0,2023-09-03,Face a face
MAS,25.0,25 A 34,8ª série (ou 9º ano),Não,Sim,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Defender a igualdade entre homens e mulheres,Incentivar a geração de empregos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Alguma vontade,Parda,Evangélica - Não sabe especificar,MAIS DE 2 A 5,MAIS DE 5 A 10,SUL,INTERIOR,DE 100.001 A 500.000,189711117.0,2023-09-04,Face a face
FEM,27.0,25 A 34,3ª série,Não,Não,Não,Incentivar a geração de empregos,Defender a igualdade entre homens e mulheres,Melhorar a qualidade da saúde,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,PERIFERIA,DE 100.001 A 500.000,189627430.0,2023-09-04,Face a face
FEM,36.0,35 A 44,1ª série,Sim,Sim,Sim,Melhorar a qualidade da educação,Incentivar a geração de empregos,Reduzir a violência,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,189508465.0,2023-09-01,Face a face
FEM,23.0,18 A 24,8ª série (ou 9º ano),Não,Não,Não,Melhorar a qualidade da educação,Preservar os valores ligados à família,Defender a igualdade entre homens e mulheres,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Branca,Assembléia de Deus,ATÉ 1,MAIS DE 2 A 5,NORDESTE,INTERIOR,DE 20.001 A 50.000,189650325.0,2023-09-04,Face a face
FEM,42.0,35 A 44,3ª série,Não,Não,Não,Reduzir a violência,Aumentar os impostos de grandes fortunas (ou dos mais ricos),Ampliar o uso de energias renováveis,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,SUDESTE,INTERIOR,DE 20.001 A 50.000,189654087.0,2023-09-04,Face a face
MAS,26.0,25 A 34,3ª série,Não,Não,Não,Reduzir as desigualdades sociais,Combater as mudanças climáticas/desmatamento,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,Evangélica - Não sabe especificar,ATÉ 1,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 100.001 A 500.000,189593418.0,2023-09-03,Face a face
FEM,24.0,18 A 24,Superior incompleto,Não,Não votou em 2022 (Esp.),Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Preservar os valores ligados à família,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",,,,,,Nenhuma vontade,Parda,Assembléia de Deus,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,189605086.0,2023-09-03,Face a face
MAS,19.0,18 A 24,3ª série,Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não votou em 2022 (Esp.),Não sabe/ Não respondeu,,,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Branca,Não respondeu,NÃO RESPONDEU,NÃO RESPONDEU,SUDESTE,CAPITAL,MAIS DE 500.000,189554511.0,2023-09-01,Face a face
FEM,45.0,45 A 54,Superior incompleto,Não,Não,Não,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,Nenhuma vontade,Parda,Outras Evangélicas específicas,ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 20.001 A 50.000,189597055.0,2023-09-03,Face a face
MAS,31.0,25 A 34,Superior incompleto,Sim,Sim,Sim,Ampliar os espaços de participação política da população,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,NORDESTE,INTERIOR,DE 50.001 A 100.000,189599140.0,2023-09-03,Face a face
MAS,24.0,18 A 24,8ª série (ou 9º ano),Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Reduzir a violência,Incentivar a geração de empregos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Nenhuma vontade,Parda,"Ateu, não tem religião",MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,MAIS DE 500.000,189516224.0,2023-09-01,Face a face
FEM,37.0,35 A 44,2ª série,Não,Sim,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Não sabe/ Não respondeu,Branca,Católica Apostólica Romana,NÃO RESPONDEU,NÃO RESPONDEU,SUL,INTERIOR,DE 5.001 A 10.000,189601783.0,2023-09-03,Face a face
MAS,53.0,45 A 54,"Sabe ler/ escrever, mas não cursou escola",Sim,Não,Sim,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,"Ateu, não tem religião",MAIS DE 2 A 5,MAIS DE 5 A 10,CENTRO OESTE,CAPITAL,MAIS DE 500.000,189603949.0,2023-09-03,Face a face
MAS,20.0,18 A 24,3ª série,Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Reduzir as desigualdades sociais,Combater as mudanças climáticas/desmatamento,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,SUDESTE,PERIFERIA,MAIS DE 500.000,189694182.0,2023-09-04,Face a face
MAS,35.0,35 A 44,Superior completo,Sim,Sim,Sim,Melhorar a qualidade da saúde,Incentivar a geração de empregos,Ampliar os espaços de participação política da população,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Muita vontade,Preta,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 10.001 A 20.000,189603393.0,2023-09-03,Face a face
FEM,34.0,25 A 34,3ª série,Não,Não,Não,Incentivar a geração de empregos,Reduzir a violência,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,Não respondeu,MAIS DE 2 A 5,MAIS DE 5 A 10,SUDESTE,INTERIOR,ATÉ 5.000,189644354.0,2023-09-04,Face a face
MAS,56.0,55 A 64,5ª série (ou 6º ano),Não,Não,Não,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Aumentar os impostos de grandes fortunas (ou dos mais ricos),Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,189571038.0,2023-09-02,Face a face
MAS,43.0,35 A 44,1ª série (ou 2º ano),Sim,Não,Sim,Melhorar a qualidade da saúde,Reduzir a violência,Combater as mudanças climáticas/desmatamento,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Branca,Batista/ Metodista/ Presbiteriana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,189607100.0,2023-09-03,Face a face
MAS,24.0,18 A 24,Superior incompleto,Não,Não,Não,Melhorar a qualidade da saúde,Preservar os valores ligados à família,Ampliar os espaços de participação política da população,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 20.001 A 50.000,189654162.0,2023-09-04,Face a face
MAS,48.0,45 A 54,3ª série (ou 4º ano),Sim,Sim,Sim,Defender a igualdade entre homens e mulheres,Combater as mudanças climáticas/desmatamento,Melhorar a qualidade da saúde,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,Nenhuma vontade,Preta,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 10.001 A 20.000,189574221.0,2023-09-02,Face a face
FEM,32.0,25 A 34,8ª série (ou 9º ano),Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Reduzir a violência,Melhorar a qualidade da saúde,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 10.001 A 20.000,189525789.0,2023-09-01,Face a face
MAS,58.0,55 A 64,3ª série,Não,Não,Não,Reduzir a violência,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Ampliar a regulamentação para políticos que divulgam fake news, criadas por eles próprios ou por terceiros","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",Nenhuma vontade,Branca,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,189568184.0,2023-09-02,Face a face
FEM,21.0,18 A 24,8ª série (ou 9º ano),Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Reduzir a violência,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Branca,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,SUL,INTERIOR,DE 100.001 A 500.000,189711114.0,2023-09-04,Face a face
MAS,25.0,25 A 34,3ª série,Não,Não,Não,Melhorar a qualidade da educação,Incentivar a geração de empregos,Reduzir as desigualdades sociais,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,NORDESTE,INTERIOR,DE 10.001 A 20.000,189611481.0,2023-09-03,Face a face
MAS,24.0,18 A 24,3ª série,Não,Não,Não,Melhorar a qualidade da saúde,Reduzir a violência,Melhorar a qualidade da educação,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,CENTRO OESTE,CAPITAL,MAIS DE 500.000,189526315.0,2023-09-01,Face a face
FEM,46.0,45 A 54,3ª série,Sim,Sim,Sim,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,189513625.0,2023-09-01,Face a face
FEM,25.0,25 A 34,3ª série,Não,Não,Não,Reduzir a violência,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)",Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 100.001 A 500.000,189564657.0,2023-09-02,Face a face
MAS,23.0,18 A 24,3ª série,Não,Não,Não,Incentivar a geração de empregos,Ampliar o uso de energias renováveis,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Preta,Batista/ Metodista/ Presbiteriana,MAIS DE 5 A 10,MAIS DE 5 A 10,SUDESTE,INTERIOR,DE 50.001 A 100.000,189524273.0,2023-09-01,Face a face
MAS,34.0,25 A 34,Superior incompleto,Não,Não,Não,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Preservar os valores ligados à família,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,,Nenhuma vontade,Branca,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,SUL,INTERIOR,DE 10.001 A 20.000,189706707.0,2023-09-05,Face a face
MAS,18.0,18 A 24,7ª série (ou 8º ano),Sim,Não,Não,Aumentar os impostos de grandes fortunas (ou dos mais ricos),Melhorar a qualidade da educação,Reduzir as desigualdades sociais,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",,,,,Muita vontade,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 20.001 A 50.000,189531640.0,2023-09-01,Face a face
MAS,69.0,65 E MAIS,5ª série (ou 6º ano),Não,Não,Sim,Ampliar os espaços de participação política da população,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Branca,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,PERIFERIA,DE 100.001 A 500.000,189571477.0,2023-09-02,Face a face
FEM,36.0,35 A 44,3ª série,Não,Não,Não,Reduzir a violência,Melhorar a qualidade da educação,Melhorar a qualidade da saúde,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Nenhuma vontade,Parda,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,189657508.0,2023-09-04,Face a face
FEM,48.0,45 A 54,Superior completo,Não,Não,Não,Incentivar a geração de empregos,Reduzir as desigualdades sociais,Preservar os valores ligados à família,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,"Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Branca,Evangélica - Não sabe especificar,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,PERIFERIA,MAIS DE 500.000,189506772.0,2023-09-01,Face a face
FEM,23.0,18 A 24,1ª série,Não,Não,Não,Melhorar a qualidade da saúde,Reduzir as desigualdades sociais,Reduzir a violência,"Ampliar a regulamentação, as regras a serem cumpridas pelas plataformas digitais (Facebook, Youtube, WhatsApp, etc.)","Responsabilizar, punir ou caçar políticos que divulgam ou compartilham postagens com notícias ou conteúdos falsos",,,,,Nenhuma vontade,Preta,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 10.001 A 20.000,189606112.0,2023-09-03,Face a face
FEM,67.0,65 E MAIS,4ª série (ou 5º ano),Não,Não,Não,Reduzir a violência,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORDESTE,INTERIOR,DE 50.001 A 100.000,189553753.0,2023-09-02,Face a face
FEM,40.0,35 A 44,4ª série (ou 5º ano),Sim,Não,Sim,Melhorar a qualidade da saúde,Reduzir a violência,Preservar os valores ligados à família,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,189555615.0,2023-09-02,Face a face
MAS,44.0,35 A 44,3ª série,Sim,Não,Não,Reduzir as desigualdades sociais,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",Incentivar a geração de empregos,"Ampliar a regulamentação para usuários que divulgam fake news, criadas por eles próprios ou por terceiros",Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Alguma vontade,Parda,Evangelho Quadrangular,MAIS DE 2 A 5,MAIS DE 5 A 10,CENTRO OESTE,INTERIOR,DE 10.001 A 20.000,189596623.0,2023-09-03,Face a face
FEM,21.0,18 A 24,3ª série,Não,Não,Não,Não sabe/ Não respondeu,,,Não sabe/ Não respondeu,,,,,,Nenhuma vontade,Parda,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,PERIFERIA,MAIS DE 500.000,189662730.0,2023-09-04,Face a face
MAS,57.0,55 A 64,3ª série (ou 4º ano),Não,Não,Sim,Reduzir a violência,Melhorar a qualidade da educação,Incentivar a geração de empregos,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,,,,,,Nenhuma vontade,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,189517034.0,2023-09-01,Face a face
FEM,35.0,35 A 44,Superior completo,Não,Não,Não,"Combater o preconceito (racismo, homofobia, diferença de classe social, etc.)",,,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,,Nenhuma vontade,Branca,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 100.001 A 500.000,189630947.0,2023-09-04,Face a face
FEM,58.0,55 A 64,Superior completo,Não,Não,Não,Reduzir as desigualdades sociais,Melhorar a qualidade da saúde,Melhorar a qualidade da educação,Responsabilizar e punir as empresas de tecnologia/comunicação que não removerem postagens com conteúdos falsos,Responsabilizar e punir os usuários que divulgam ou compartilham postagens com notícias ou conteúdos falsos,,,,,Alguma vontade,Parda,Outras Evangélicas específicas,MAIS DE 5 A 10,MAIS DE 5 A 10,CENTRO OESTE,CAPITAL,MAIS DE 500.000,189600481.0,2023-09-03,Face a face
